name,ID,ra,dec,redshift,logMstar,SFR,pa,inc_deg,re
cdfs_24904,1,53.0722917,-27.8980083,1.3590,9.76,36,-49.2,38.5630,0.15
cdfs_26404,2,53.0625000,-27.8839917,1.3597,9.88,12,-5.15,59.2287,1.49
cdfs_26954,3,53.0920833,-27.8791528,1.5409,10.64,34,-73.08,42.8274,0.69
cdfs_27318,4,53.0840833,-27.8773167,1.5527,10.34,62,-83.77,44.1514,0.67
cdfs_28138,5,53.0574167,-27.8674250,1.5182,10.12,33,-26.15,57.7411,0.40
cdfs_29207,6,53.0585417,-27.8567778,1.2209,10.61,35,80.19,57.1326,0.53
cdfs_29589,7,53.0467917,-27.8519722,1.5185,10.24,14,-60.58,78.3269,0.78
cdfs_29831,8,53.0284583,-27.8487139,1.5393,9.58,18,39.59,57.4298,0.43
cdfs_30267,9,53.0896667,-27.8445917,1.5402,10.12,10,-73.31,50.7647,0.77
cdfs_30450,10,53.1246667,-27.8421972,1.3893,9.89,4,76.35,79.5006,0.29
cdfs_30557,11,53.1417917,-27.8413389,1.3827,10.68,142,86.91,68.7400,0.80
cdfs_30561,12,53.1314167,-27.8413000,1.6136,11.52,38,-68.8,60.6007,0.63
cdfs_30732,13,53.0520833,-27.8390528,1.3337,9.62,39,71.0,40.5391,0.42
cdfs_30865,14,53.1557083,-27.8371167,1.3890,9.68,30,-51.91,58.5531,0.69
cdfs_31127,15,53.0705833,-27.8344444,1.6133,10.07,43,13.36,62.6480,0.29
cdfs_31671,16,53.1545833,-27.8280389,1.5689,10.16,25,-84.4,77.6899,0.51
cdfs_31721,17,53.0463333,-27.8273361,1.3528,9.55,17,-47.86,42.1988,0.34
cdfs_33014,18,53.1360000,-27.8135333,1.3416,9.82,17,37.2,54.2330,0.44
cdfs_33246,19,53.0824583,-27.8108667,1.3574,10.23,18,-51.49,38.7372,0.28
cdfs_35213,20,53.1042917,-27.7883833,1.3564,10.02,63,-10.26,18.2809,0.14
GS4_10784,21,53.1309583,-27.8604111,1.3821,10.17,21,27.0,24.8,0.40
GS4_16960,22,53.1572500,-27.8334417,1.6182,11.12,101,74.0,49.2,0.50
