name,H,YJ,IZ
COS4_18969,1,1,1
cosmos_132082,1,1,1
COS4_19049,1,1,1
cosmos_132057,1,0,0
cosmos_132520,1,1,1
cosmos_129899,1,1,1
cosmos_132502,1,1,1
fmos_sf_strong_48_sha_lm,1,1,1
cosmos_129410_lm,1,1,1
fmos_sf_weak_55_wha_hm,1,1,1
cosmos_128220,1,0,0
cosmos_128449,1,1,1
cosmos_125697_hm,1,0,0
COS4_09667,1,1,1
COS4_11696,1,1,1
COS4_13038,1,1,1
fmos_sf_weak_389_wha_mm,1,1,1
cosmos_129830_sha_hm,1,1,1
COS4_16369,1,0,0
fmos_sf_strong_76_sha_mm,1,0,0
fmos_sf_strong_27_sha_lm,1,0,0
