name,PPN2,e_PPN2,M13N2,e_M13N2,B18N2,e_B18N2,D16,e_D16,PPO3N2,e_PPO3N2,M13O3N2,e_M13O3N2,B18O3N2,e_B18O3N2,M08R23,e_M08R23,Scal,e_Scal,B18O32,e_B18O32,K19N2O2,e_K19N2O2
cdfs_24904,8.45,0.01,8.42,0.03,8.54,0.01,8.31,0.02,8.30,0.03,8.24,0.03,8.41,0.05,nan,nan,8.35,0.10,nan,nan,8.74,0.12
cdfs_26404,8.66,0.08,8.53,0.04,8.69,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.93,0.05
cdfs_26954,8.82,0.05,8.59,0.03,8.77,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_27318,8.65,0.04,8.52,0.03,8.68,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.93,0.04
cdfs_28138,8.47,0.02,8.43,0.03,8.55,0.02,nan,nan,8.55,0.03,8.41,0.03,8.79,0.05,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_29207,8.94,0.06,8.63,0.03,8.83,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_29589,8.37,0.05,8.36,0.05,8.46,0.06,8.14,0.10,8.43,0.05,8.33,0.04,8.61,0.07,8.85,0.11,8.17,0.10,nan,nan,8.52,0.17
cdfs_29831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.94,0.04,nan,nan,9.23,0.10,nan,nan
cdfs_30267,8.50,0.06,8.44,0.05,8.57,0.05,8.34,0.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_30450,8.40,0.04,8.38,0.04,8.49,0.04,8.26,0.08,8.33,0.04,8.26,0.03,8.46,0.06,8.75,0.12,8.30,0.11,9.18,0.12,8.88,0.07
cdfs_30557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_30561,8.94,0.03,8.63,0.03,8.83,0.01,8.99,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_30732,8.31,0.04,8.31,0.05,8.39,0.05,8.14,0.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.14,0.11,8.82,0.09
cdfs_30865,8.35,0.02,8.35,0.04,8.44,0.02,8.52,0.06,8.25,0.02,8.21,0.03,8.35,0.03,nan,nan,8.36,0.04,nan,nan,nan,nan
cdfs_31127,8.47,0.01,8.43,0.03,8.55,0.01,8.49,0.02,8.45,0.04,8.34,0.03,8.63,0.06,8.85,0.12,8.40,0.09,nan,nan,8.82,0.09
cdfs_31671,8.28,0.03,8.28,0.05,8.35,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.78,0.09
cdfs_31721,8.28,0.02,8.28,0.04,8.35,0.02,8.09,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_33014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_33246,8.47,0.02,8.43,0.03,8.55,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cdfs_35213,8.46,0.03,8.42,0.04,8.54,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS4_10784,8.47,0.02,8.43,0.03,8.55,0.02,8.51,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS4_16960,8.96,0.02,8.64,0.03,8.83,0.01,9.18,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
