name,I_OII,SN_OII,I_Hb,SN_Hb,I_OIII5007,SN_OIII5007,I_Ha,SN_Ha,I_NII6584,SN_NII6584,I_SII6717,SN_SII6717,I_SII6731,SN_SII6731
COS4_18969,0.25,4.50,1.12,-1.00,0.06,0.36,0.30,95.08,0.04,13.99,0.03,14.33,0.02,7.12
cosmos_132082,0.18,4.86,0.46,-1.00,2.01,14.60,0.20,67.28,0.11,36.96,0.03,8.94,0.03,8.00
COS4_19049,0.25,13.09,0.24,3.82,0.97,15.14,0.16,89.88,0.04,22.71,0.03,15.73,0.02,23.13
cosmos_132057,-99,-99,-99,-99,-99,-99,0.02,58.45,0.01,41.08,0.00,-1.00,0.00,-1.00
cosmos_132520,0.18,7.73,0.00,-1.00,0.11,2.24,0.05,29.58,0.01,6.02,0.01,4.88,0.00,-1.00
cosmos_129899,0.01,2.45,0.02,3.43,0.00,-1.00,0.02,45.38,0.01,-1.00,0.00,-1.00,0.01,-1.00
cosmos_132502,0.02,2.66,0.05,4.05,0.03,2.06,0.03,66.67,0.01,-1.00,0.00,-1.00,0.00,-1.00
fmos_sf_strong_48_sha_lm,0.02,3.96,0.02,4.01,0.03,4.83,0.03,72.02,0.00,-1.00,0.00,-1.00,0.00,-1.00
cosmos_129410_lm,0.01,-1.00,0.01,-1.00,0.09,5.00,0.02,54.78,0.00,-1.00,0.00,-1.00,0.00,-1.00
fmos_sf_weak_55_wha_hm,0.06,3.04,0.10,2.96,0.17,5.23,0.15,44.12,0.06,18.87,0.04,11.70,0.05,25.82
cosmos_128220,-99,-99,-99,-99,-99,-99,0.22,45.35,0.01,-1.00,0.05,7.59,0.01,-1.00
cosmos_128449,0.05,6.77,0.03,2.70,0.25,22.56,0.13,435.11,0.02,71.89,0.01,-1.00,0.01,35.39
cosmos_125697_hm,-99,-99,-99,-99,-99,-99,0.09,24.50,0.03,8.01,0.01,-1.00,0.03,21.93
COS4_09667,0.35,2.91,0.00,-1.00,1.12,6.21,0.28,36.80,0.05,6.72,0.02,1.07,0.05,3.90
COS4_11696,0.05,5.87,0.03,3.52,0.02,2.06,0.08,136.35,0.03,44.62,0.01,-1.00,0.01,-1.00
COS4_13038,0.04,2.05,0.00,-1.00,0.08,2.28,0.10,81.96,0.03,21.32,0.02,12.49,0.02,16.52
fmos_sf_weak_389_wha_mm,0.05,3.07,0.17,4.78,0.00,-1.00,0.04,33.01,0.01,10.60,0.01,-1.00,0.00,-1.00
cosmos_129830_sha_hm,0.56,5.02,0.00,-1.00,1.70,5.75,0.59,25.24,0.38,16.38,0.13,6.01,0.09,36.22
COS4_16369,-99,-99,-99,-99,-99,-99,0.11,42.21,0.01,4.87,0.02,5.40,0.03,21.26
fmos_sf_strong_76_sha_mm,-99,-99,-99,-99,-99,-99,0.31,236.41,0.08,63.65,0.01,-1.00,0.01,17.45
fmos_sf_strong_27_sha_lm,-99,-99,-99,-99,-99,-99,0.21,364.76,0.04,71.78,0.01,-1.00,0.02,22.56
