name,dZdr_K19N2O2,e_dZdr_K19N2O2,dZdr_M08R23,e_dZdr_M08R23,dZdr_M13N2,e_dZdr_M13N2
cdfs_24904,0.561,0.347,nan,nan,-0.022,0.085
cdfs_26404,nan,nan,nan,nan,nan,nan
cdfs_26954,nan,nan,nan,nan,-0.007,0.013
cdfs_27318,nan,nan,nan,nan,0.006,0.014
cdfs_28138,nan,nan,nan,nan,0.012,0.023
cdfs_29207,nan,nan,nan,nan,nan,nan
cdfs_29589,nan,nan,nan,nan,nan,nan
cdfs_29831,nan,nan,0.059,0.036,nan,nan
cdfs_30267,nan,nan,nan,nan,nan,nan
cdfs_30450,nan,nan,nan,nan,-0.050,0.067
cdfs_30557,nan,nan,nan,nan,nan,nan
cdfs_30561,nan,nan,nan,nan,0.003,0.009
cdfs_30732,nan,nan,nan,nan,nan,nan
cdfs_30865,nan,nan,nan,nan,-0.006,0.015
cdfs_31127,-0.378,0.239,-0.691,0.328,-0.021,0.035
cdfs_31671,nan,nan,nan,nan,0.031,0.018
cdfs_31721,nan,nan,nan,nan,0.004,0.030
cdfs_33014,nan,nan,nan,nan,nan,nan
cdfs_33246,nan,nan,nan,nan,-0.040,0.037
cdfs_35213,nan,nan,nan,nan,0.264,0.103
GS4_10784,nan,nan,nan,nan,-0.018,0.028
GS4_16960,nan,nan,nan,nan,0.006,0.008
COS4_18969,nan,nan,nan,nan,0.002,0.009
cosmos_132082,nan,nan,nan,nan,0.014,0.008
COS4_19049,nan,nan,nan,nan,-0.135,0.037
cosmos_132057,nan,nan,nan,nan,-0.029,0.073
cosmos_132520,nan,nan,nan,nan,0.000,0.012
cosmos_129899,nan,nan,nan,nan,0.005,0.073
cosmos_132502,nan,nan,nan,nan,-0.005,0.054
fmos_sf_strong_48_sha_lm,0.584,1.216,nan,nan,0.077,0.074
cosmos_129410_lm,nan,nan,nan,nan,nan,nan
fmos_sf_weak_55_wha_hm,nan,nan,nan,nan,nan,nan
cosmos_128220,nan,nan,nan,nan,nan,nan
cosmos_128449,0.263,0.272,nan,nan,0.001,0.053
cosmos_125697_hm,nan,nan,nan,nan,0.018,0.007
COS4_09667,nan,nan,nan,nan,nan,nan
COS4_11696,0.322,0.361,nan,nan,-0.004,0.064
COS4_13038,nan,nan,nan,nan,0.001,0.025
fmos_sf_weak_389_wha_mm,nan,nan,nan,nan,-0.002,0.012
cosmos_129830_sha_hm,nan,nan,nan,nan,nan,nan
COS4_16369,nan,nan,nan,nan,nan,nan
fmos_sf_strong_76_sha_mm,nan,nan,nan,nan,-0.004,0.012
fmos_sf_strong_27_sha_lm,nan,nan,nan,nan,0.003,0.032

